town,land_area_sq_m_2021,land_area_sq_mi_2021
Andover,40012484,15.45
Ansonia,15588608,6.02
Ashford,100392973,38.76
Avon,59982586,23.16
Barkhamsted,93896736,36.25
Beacon Falls,25055586,9.67
Berlin,68147324,26.31
Bethany,54564789,21.07
Bethel,43918190,16.96
Bethlehem,50181138,19.38
Bloomfield,67562264,26.09
Bolton,37314557,14.41
Bozrah,51708109,19.96
Branford,56568416,21.84
Bridgeport,41606638,16.06
Bridgewater,42478578,16.40
Bristol,68392159,26.41
Brookfield,51115716,19.74
Brooklyn,75454825,29.13
Burlington,76927729,29.70
Canaan,85242555,32.91
Canterbury,103456495,39.94
Canton,63676508,24.59
Chaplin,50222578,19.39
Cheshire,85035914,32.83
Chester,41573119,16.05
Clinton,41975453,16.21
Colchester,126766631,48.94
Colebrook,81722366,31.55
Columbia,55355051,21.37
Cornwall,119297429,46.06
Coventry,97308019,37.57
Cromwell,32251180,12.45
Danbury,108855293,42.03
Darien,32774485,12.65
Deep River,35001764,13.51
Derby,13094124,5.06
Durham,61276967,23.66
East Granby,45491074,17.56
East Haddam,140516009,54.25
East Hampton,92335617,35.65
East Hartford,46638316,18.01
East Haven,31847384,12.30
East Lyme,88104875,34.02
East Windsor,67989003,26.25
Eastford,74904508,28.92
Easton,71026086,27.42
Ellington,88215483,34.06
Enfield,86292324,33.32
Essex,26942175,10.40
Fairfield,77447781,29.90
Farmington,72265587,27.90
Franklin,51049943,19.71
Glastonbury,132758374,51.26
Goshen,113004839,43.63
Granby,105449930,40.71
Greenwich,123597678,47.72
Griswold,89897144,34.71
Groton,80573153,31.11
Guilford,121933333,47.08
Haddam,113796056,43.94
Hamden,84513849,32.63
Hampton,64988483,25.09
Hartford,45012647,17.38
Hartland,85456173,32.99
Harwinton,79759564,30.80
Hebron,95557617,36.90
Kent,125813160,48.58
Killingly,125232041,48.35
Killingworth,91506573,35.33
Lebanon,140113258,54.10
Ledyard,98968751,38.21
Lisbon,42200264,16.29
Litchfield,145296074,56.10
Lyme,82353554,31.80
Madison,93622111,36.15
Manchester,70974997,27.40
Mansfield,115605879,44.64
Marlborough,60479197,23.35
Meriden,61466952,23.73
Middlebury,45988511,17.76
Middlefield,32759592,12.65
Middletown,106235852,41.02
Milford,57444044,22.18
Monroe,67522443,26.07
Montville,108665036,41.96
Morris,44961621,17.36
Naugatuck,42435044,16.38
New Britain,34694285,13.40
New Canaan,57484080,22.19
New Fairfield,52889968,20.42
New Hartford,95927210,37.04
New Haven,48407074,18.69
New London,14558137,5.62
New Milford,159446315,61.56
Newington,34034098,13.14
Newtown,148996255,57.53
Norfolk,117436917,45.34
North Branford,64123452,24.76
North Canaan,50176807,19.37
North Haven,53974694,20.84
North Stonington,140501875,54.25
Norwalk,59275234,22.89
Norwich,72680185,28.06
Old Lyme,59605004,23.01
Old Saybrook,39003140,15.06
Orange,44498764,17.18
Oxford,84809656,32.75
Plainfield,109844074,42.41
Plainville,25139797,9.71
Plymouth,56650624,21.87
Pomfret,104451274,40.33
Portland,60476326,23.35
Preston,79848697,30.83
Prospect,36781442,14.20
Putnam,52588042,20.30
Redding,81529023,31.48
Ridgefield,89355361,34.50
Rocky Hill,34867960,13.46
Roxbury,68102992,26.29
Salem,74924895,28.93
Salisbury,148239632,57.24
Scotland,48254391,18.63
Seymour,37600679,14.52
Sharon,152201015,58.77
Shelton,79334981,30.63
Sherman,56757602,21.91
Simsbury,87883318,33.93
Somers,73701162,28.46
South Windsor,72668282,28.06
Southbury,101023391,39.01
Southington,92923146,35.88
Sprague,34294886,13.24
Stafford,150316815,58.04
Stamford,97428717,37.62
Sterling,70499824,27.22
Stonington,100076165,38.64
Stratford,45275804,17.48
Suffield,109525831,42.29
Thomaston,31050035,11.99
Thompson,121489044,46.91
Tolland,102633514,39.63
Torrington,102982068,39.76
Trumbull,60189111,23.24
Union,74720104,28.85
Vernon,45836697,17.70
Voluntown,100924002,38.97
Wallingford,101433656,39.16
Warren,68132140,26.31
Washington,98602270,38.07
Waterbury,73861760,28.52
Waterford,84696754,32.70
Watertown,75139016,29.01
West Hartford,56560149,21.84
West Haven,27842630,10.75
Westbrook,40843930,15.77
Weston,51211664,19.77
Westport,51695168,19.96
Wethersfield,31862532,12.30
Willington,86230085,33.29
Wilton,69376751,26.79
Winchester,84213566,32.52
Windham,69533870,26.85
Windsor,76443198,29.51
Windsor Locks,23371117,9.02
Wolcott,52905034,20.43
Woodbridge,48722327,18.81
Woodbury,94168479,36.36
Woodstock,157165209,60.68